waveform_index,scheduled_s,completed_s,late_s,points_returned,points_saved
84,73945.81408965301,73968.793875505,22.596827546993154,10000,2500
85,73945.814189653,73969.007523055,22.979694334004307,10000,2500
86,73945.814289653,73969.287627245,23.193239265994634,10000,2500
87,73945.81438965301,73969.665763324,23.473251147996052,10000,2500
88,73945.814489653,73969.921643044,23.851279562004493,10000,2500
89,73945.814589653,73970.136971817,24.107066262993612,10000,2500
90,73945.81468965301,73970.404257508,24.322294746991247,10000,2500
91,73945.814789653,73970.628860595,24.589481767994585,10000,2500
92,73945.814889653,73970.846655802,24.81398369598901,10000,2500
93,73945.81498965301,73971.070287616,25.031678551997175,10000,2500
94,73945.815089653,73971.318870893,25.25521230099548,10000,2500
95,73945.815189653,73971.652621033,25.503694099999848,10000,2500
96,73945.81528965301,73971.886024793,25.83734358298534,10000,2500
97,73945.815389653,73972.121742851,26.070646890002536,10000,2500
98,73945.815489653,73972.368900163,26.30626560699602,10000,2500
99,73945.81558965301,73972.711137771,26.553322067993577,10000,2500
100,73945.815689653,73972.982675721,26.89548603100411,10000,2500
101,73945.815789653,73973.205490424,27.166898789990228,10000,2500
102,73945.81588965301,73973.425396762,27.389614078987506,10000,2500
103,73945.815989653,73973.635432981,27.609419628002797,10000,2500
104,73945.816089653,73973.989065275,27.819349708996015,10000,2500
105,73945.81618965301,73974.321422228,28.17288952198578,10000,2500
106,73945.816289653,73974.55752831,28.505154943995876,10000,2500
107,73945.816389653,73974.763880684,28.74114749400178,10000,2500
108,73945.816489653,73974.991207606,28.94740444899071,10000,2500
109,73945.816589653,73975.22476425,29.174631617002888,10000,2500
110,73945.816689653,73975.458851747,29.408080488996347,10000,2500
111,73945.816789653,73975.783231655,29.642074833987863,10000,2500
112,73945.816889653,73976.046502661,29.966352696006652,10000,2500
113,73945.816989653,73976.307860514,30.229526708004414,10000,2500
114,73945.817089653,73976.531157575,30.490784000998246,10000,2500
115,73945.817189653,73976.802256205,30.713980244996492,10000,2500
116,73945.817289653,73977.050370416,30.98497971499455,10000,2500
117,73945.817389653,73977.281864458,31.232996100996388,10000,2500
118,73945.817489653,73977.521091897,31.46438194300572,10000,2500
119,73945.817589653,73977.782225022,31.70351475100324,10000,2500
120,73945.817689653,73977.996201105,31.964550963995862,10000,2500
121,73945.81778965301,73978.218867093,32.178425066987984,10000,2500
122,73945.817889653,73978.43143879,32.40099039800407,10000,2500
123,73945.817989653,73978.637349924,32.61346365499776,10000,2500
124,73945.81808965301,73979.017131892,32.81928033598524,10000,2500
125,73945.818189653,73979.230367396,33.19895589799853,10000,2500
126,73945.818289653,73979.447097057,33.412090883997735,10000,2500
127,73945.81838965301,73979.668220688,33.62872158299433,10000,2500
128,73945.818489653,73979.913864999,33.84974168900226,10000,2500
129,73945.818589653,73980.138497727,34.09528828099428,10000,2500
130,73945.81868965301,73980.42243087,34.31982037998387,10000,2500
131,73945.818789653,73980.747484216,34.60365503600042,10000,2500
132,73945.818889653,73981.011456874,34.9286072649993,10000,2500
133,73945.81898965301,73981.469495933,35.19248044099368,10000,2500
134,73945.819089653,73981.697504581,35.65042149499641,10000,2500
135,73945.819189653,73981.911616153,35.87832799900207,10000,2500
